name,ID,Probe_vs_Competition_p.val,Vehicle_vs_Competition_p.val,Vehicle_vs_Probe_p.val,Probe_vs_Competition_p.adj,Vehicle_vs_Competition_p.adj,Vehicle_vs_Probe_p.adj,Probe_vs_Competition_significant,Vehicle_vs_Competition_significant,Vehicle_vs_Probe_significant,significant,Probe_vs_Competition_ratio,Vehicle_vs_Competition_ratio,Vehicle_vs_Probe_ratio,Competition_centered,Probe_centered,Vehicle_centered
ATP5B,P06576,0.0014737078069954317,0.11530532980164199,4.195159725574167e-4,7.91e-14,0.317,2.41e-9,TRUE,FALSE,TRUE,TRUE,2.33,-0.713,-3.04,-0.539,1.79,-1.25
CTSD,P07339,0.4202888810093408,0.012356467650743674,0.005239109992068017,0.299,8.48e-4,0.00731,FALSE,FALSE,TRUE,TRUE,0.418,-1.8,-2.22,0.462,0.88,-1.34
TIMM17B,O60830,0.19032474162716717,3.9471180327937575e-4,1.7376757167846834e-4,0.00883,7.92e-14,1.69e-13,FALSE,TRUE,TRUE,TRUE,0.413,-2.24,-2.66,0.61,1.02,-1.63
VDAC1,P21796,0.6756018911908032,0.0020195170934251398,0.0014407336715932411,0.771,1.1e-8,1.44e-5,FALSE,TRUE,TRUE,TRUE,0.232,-3.02,-3.25,0.929,1.16,-2.09
ZMPSTE24,O75844,0.3301756423755946,0.02504572628385238,0.007994389947718767,0.147,0.0116,0.0312,FALSE,FALSE,TRUE,TRUE,0.54,-1.57,-2.11,0.345,0.885,-1.23
AARS,P49588,0.8279343096605157,0.8186100530321538,0.6576027754836709,0.876,0.908,0.981,FALSE,FALSE,FALSE,FALSE,0.0542,-0.0572,-0.111,0.001,0.0552,-0.0562
ABCE1,P61221,0.7308602957530921,0.7999943193261277,0.5556104623004976,0.82,0.905,0.978,FALSE,FALSE,FALSE,FALSE,0.0883,-0.0649,-0.153,-0.00782,0.0805,-0.0727
ACADVL,P49748,0.9936158366823944,0.658718835849698,0.6531167969646893,0.924,0.882,0.981,FALSE,FALSE,FALSE,FALSE,0.00253,-0.141,-0.144,0.0462,0.0488,-0.095
ACLY,P53396,0.6857042912140294,0.2695887594686191,0.4543923042746816,0.781,0.669,0.974,FALSE,FALSE,FALSE,FALSE,-0.0891,-0.257,-0.168,0.115,0.0264,-0.142
ACTB,P60709,0.884914022904943,0.2817334636055607,0.34046947277591033,0.898,0.685,0.966,FALSE,FALSE,FALSE,FALSE,-0.0214,-0.169,-0.148,0.0634,0.0421,-0.105
ACTN1,P12814,0.9491906686271032,0.46780858579356016,0.43286739602422786,0.915,0.824,0.973,FALSE,FALSE,FALSE,FALSE,0.0151,-0.177,-0.193,0.0541,0.0692,-0.123
ACTN4,O43707,0.665604172894416,0.8919903203335149,0.573534923956547,0.76,0.916,0.979,FALSE,FALSE,FALSE,FALSE,0.0929,-0.0289,-0.122,-0.0213,0.0716,-0.0502
ACTR3,P61158,0.5649962759938199,0.7001686860308513,0.35253338445120247,0.611,0.89,0.968,FALSE,FALSE,FALSE,FALSE,0.139,-0.0924,-0.232,-0.0157,0.124,-0.108
AHSA1,O95433,0.8176972993878728,0.9443215552995206,0.8720318382997787,0.872,0.921,0.985,FALSE,FALSE,FALSE,FALSE,0.0497,0.015,-0.0347,-0.0216,0.0281,-0.00655
AIFM1,O95831,0.9292770243861058,0.2793958048859355,0.24824150536264472,0.91,0.682,0.954,FALSE,FALSE,FALSE,FALSE,0.0134,-0.174,-0.187,0.0534,0.0668,-0.12
ALB,P02768,0.8432325806002889,0.1405323354899537,0.1841705131910675,0.883,0.379,0.938,FALSE,FALSE,FALSE,FALSE,0.183,1.53,1.35,-0.57,-0.388,0.958
ALDH9A1,P49189,0.5527621068596119,0.6726355566544288,0.85871997566458,0.587,0.885,0.985,FALSE,FALSE,FALSE,FALSE,0.119,0.0837,-0.035,-0.0675,0.0512,0.0162
ALDOA,P04075,0.9353699181734312,0.9383282854393998,0.9970293830850615,0.912,0.921,0.987,FALSE,FALSE,FALSE,FALSE,0.0176,0.0167,-8.06e-4,-0.0114,0.00612,0.00531
ALDOC,P09972,0.6505555175192048,0.9746957500206369,0.6286493898270341,0.743,0.924,0.981,FALSE,FALSE,FALSE,FALSE,-0.0876,0.00607,0.0936,0.0272,-0.0604,0.0332
