"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Chromosome"	"WikiPathways"	"KEGG Pathways"	"Number of Razor Peptides"	"Abundances Grouped F1 126"	"Abundances Grouped F1 127"	"Abundances Grouped F1 128"	"Abundances Grouped F1 129"	"Abundances Grouped F1 130"	"Abundances Grouped F1 131"	"Found in Sample in S1 F1 126 Sample"	"Found in Sample in S2 F1 127 Sample"	"Found in Sample in S3 F1 128 Sample"	"Found in Sample in S4 F1 129 Sample"	"Found in Sample in S5 F1 130 Sample"	"Found in Sample in S6 F1 131 Sample"	"Modifications"
"False"	"IsMasterProtein"	"P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6"	"15"	"10"	"348"	"6"	"1"	"644"	"66.0"	"8.12"	"617.09"	"10"	"cell death;defense response;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoskeleton;cytosol;extracellular;membrane;nucleus"	"catalytic activity;motor activity;protein binding;receptor activity;structural molecule activity"	"Pf00038, Pf01576, Pf05103, Pf05957, Pf12128, Pf13166, Pf13514"	"3848"	"ENSG00000167768.4"	"KRT1"	"12"	"Corticotropin-releasing hormone signaling pathway"	""	"2"	"14172.6"	"4941.2"	"8805.5"	"9118.7"	"25408.4"	"7376.1"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"contaminant_KERATIN22"	"contaminant_KERATIN22"	"18"	"11"	"256"	"7"	"1"	"645"	"65.8"	"8.00"	"578.16"	"11"	""	""	""	""	""	""	""	""	""	""	"4"	"15478.0"	"7641.6"	"11361.1"	"9436.8"	"27899.6"	"6213.0"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1"	"22"	"6"	"205"	"6"	"1"	"375"	"41.7"	"5.48"	"469.67"	"6"	"cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytoskeleton;cytosol;membrane;nucleus"	"DNA binding;nucleotide binding;protein binding;structural molecule activity"	"Pf00022"	"60"	"ENSG00000075624.13"	"ACTB"	"7"	"Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; Myometrial Relaxation and Contraction Pathways; Common Pathways Underlying Drug Addiction; Arrhythmogenic Right Ventricular Cardiomyopathy; Focal Adhesion; Regulation of Actin Cytoskeleton; Pathogenic Escherichia coli infection"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC); Tight junction; Pathogenic Escherichia coli infection; Dilated cardiomyopathy; Hippo signaling pathway; Rap1 signaling pathway; Oxytocin signaling pathway; Thyroid hormone signaling pathway; Phagosome; Apoptosis; Focal adhesion; Proteoglycans in cancer; Salmonella infection; Adherens junction; Regulation of actin cytoskeleton; Leukocyte transendothelial migration; Gastric acid secretion; Bacterial invasion of epithelial cells; Vibrio cholerae infection; Viral myocarditis; Influenza A; Hypertrophic cardiomyopathy (HCM); Platelet activation; Shigellosis"	"0"	"6265.7"	"13249.2"	"11102.2"	"5956.2"	"6301.2"	"8362.1"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"contaminant_KERATIN03"	"contaminant_KERATIN03"	"25"	"13"	"183"	"10"	"1"	"593"	"59.5"	"5.21"	"424.13"	"13"	""	""	""	""	""	""	""	""	""	""	"3"	"12371.9"	"6592.8"	"8876.2"	"7888.5"	"24966.8"	"5174.3"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P04259"	"Keratin, type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5"	"16"	"9"	"179"	"1"	"1"	"564"	"60.0"	"8.00"	"371.55"	"9"	"cell death;cell organization and biogenesis;metabolic process"	"cytosol"	"catalytic activity;motor activity;protein binding;structural molecule activity"	"Pf00038, Pf01576, Pf04111, Pf13166"	"3854"	"ENSG00000185479.5"	"KRT6B"	"12"	""	""	"1"	"282.5"	"114.8"	"1985.4"	"116.2"	"782.1"	"160.8"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P02538"	"Keratin, type II cytoskeletal 6A OS=Homo sapiens GN=KRT6A PE=1 SV=3"	"16"	"9"	"170"	"1"	"1"	"564"	"60.0"	"8.00"	"360.11"	"9"	"cell death;cell differentiation;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus"	"cytosol;membrane;nucleus"	"protein binding;structural molecule activity"	"Pf00038, Pf04111, Pf13166"	"3853"	"ENSG00000205420.10"	"KRT6A"	"12"	"Ectoderm Differentiation"	""	"5"	"1696.0"	"715.7"	"7208.1"	"755.6"	"3310.6"	"779.1"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P48668"	"Keratin, type II cytoskeletal 6C OS=Homo sapiens GN=KRT6C PE=1 SV=3"	"16"	"9"	"161"	"1"	"1"	"564"	"60.0"	"8.00"	"347.39"	"9"	"cell death;cell organization and biogenesis;metabolic process"	"cytosol"	"catalytic activity;motor activity;protein binding;structural molecule activity"	"Pf00038, Pf01576, Pf04111, Pf13166"	"286887; 3853"	"ENSG00000170465.9"	"KRT6C; KRT6A"	"12"	""	""	"0"	"10.1"	"10.8"	"37.7"	"6.1"	"14.6"	"11.4"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"contaminant_KERATIN18"	"contaminant_KERATIN18"	"16"	"9"	"160"	"1"	"1"	"562"	"59.8"	"7.94"	"342.59"	"9"	""	""	""	""	""	""	""	""	""	""	"0"	"89.8"	"48.8"	"274.5"	"31.7"	"53.8"	"38.9"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"contaminant_KERATIN17"	"contaminant_KERATIN17"	"10"	"6"	"126"	"3"	"1"	"590"	"62.4"	"8.06"	"279.29"	"6"	""	""	""	""	""	""	""	""	""	""	"0"	"924.8"	"453.8"	"971.0"	"541.0"	"1589.0"	"400.4"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"contaminant_KERATIN16"	"contaminant_KERATIN16"	"6"	"3"	"162"	"1"	"1"	"534"	"57.2"	"6.61"	"275.92"	"3"	""	""	""	""	""	""	""	""	""	""	"0"	"34.4"	"14.3"	"15.1"	""	"76.1"	"2.5"	"High"	"High"	"High"	"Not Found"	"High"	"High"	""
